Gene name,chromosome,tss_loc,gene_symbol,gene_ensembl_id
5S_rRNA,HSCHR17_7_CTG4,182944490,5S_rRNA,ENSG00000278457
5_8S_rRNA,20,30485076,5_8S_rRNA,ENSG00000278294
7SK,1,124090,7SK,ENSG00000274303
A1BG,19,58353492,A1BG,ENSG00000121410
A1BG-AS1,19,58347718,A1BG-AS1,ENSG00000268895
A1CF,10,50885675,A1CF,ENSG00000148584
A2M,12,9116229,A2M,ENSG00000175899
A2M-AS1,12,9065163,A2M-AS1,ENSG00000245105
A2ML1,12,8822621,A2ML1,ENSG00000166535
A2ML1-AS1,12,8830947,A2ML1-AS1,ENSG00000256661
A2ML1-AS2,12,8820713,A2ML1-AS2,ENSG00000256904
A2MP1,12,9275817,A2MP1,ENSG00000256069
A3GALT2,1,33321098,A3GALT2,ENSG00000184389
A4GALT,22,42721298,A4GALT,ENSG00000128274
A4GNT,3,138132390,A4GNT,ENSG00000118017
AA06,17,33533763,AA06,ENSG00000265544
AAAS,HG2554_PATCH,53324864,AAAS,ENSG00000291836
AACS,12,125065434,AACS,ENSG00000081760
AACSP1,5,178818435,AACSP1,ENSG00000291019
AADAC,3,151814073,AADAC,ENSG00000114771
AADACL2,HSCHR3_1_CTG2_1,155089,AADACL2,ENSG00000261846
AADACL2-AS1,3,151928178,AADACL2-AS1,ENSG00000242908
AADACL3,1,12716110,AADACL3,ENSG00000188984
AADACL4,1,12644085,AADACL4,ENSG00000204518
AADACP1,3,151766699,AADACP1,ENSG00000291076
AADAT,4,170091699,AADAT,ENSG00000109576
AAGAB,15,67255195,AAGAB,ENSG00000103591
AAK1,2,69674349,AAK1,ENSG00000115977
AAMDC,11,77821109,AAMDC,ENSG00000087884
AAMP,2,218270178,AAMP,ENSG00000127837
AANAT,17,76453351,AANAT,ENSG00000129673
AAR2,20,36236131,AAR2,ENSG00000131043
AARD,8,116938207,AARD,ENSG00000205002
AARS1,16,70289707,AARS1,ENSG00000090861
AARS1P1,4,132592084,AARS1P1,ENSG00000249038
AARS2,6,44313347,AARS2,ENSG00000124608
AARSD1,17,42964498,AARSD1,ENSG00000266967
AARSD1P1,X,74069276,AARSD1P1,ENSG00000234969
AASDH,4,56387508,AASDH,ENSG00000157426
AASDHPPT,11,106075501,AASDHPPT,ENSG00000149313
AASS,7,122144308,AASS,ENSG00000008311
AATBC,21,43812567,AATBC,ENSG00000215458
AATF,17,1185240,AATF,ENSG00000275700
AATK,17,81166221,AATK,ENSG00000181409
ABALON,20,31721507,ABALON,ENSG00000281376
ABAT,16,8674596,ABAT,ENSG00000183044
ABCA1,9,104928155,ABCA1,ENSG00000165029
ABCA10,17,69244846,ABCA10,ENSG00000154263
ABCA11P,4,474129,ABCA11P,ENSG00000293360
ABCA12,2,215138626,ABCA12,ENSG00000144452
ABCA13,7,48171458,ABCA13,ENSG00000179869
ABCA15P,16,21315911,ABCA15P,ENSG00000189149
ABCA17P,16,2339109,ABCA17P,ENSG00000293423
ABCA2,9,137028915,ABCA2,ENSG00000107331
ABCA3,16,2340746,ABCA3,ENSG00000167972
ABCA3P1,16,21938865,ABCA3P1,ENSG00000257408
ABCA4,1,94121148,ABCA4,ENSG00000198691
ABCA5,17,69327244,ABCA5,ENSG00000154265
ABCA6,17,69141895,ABCA6,ENSG00000154262
ABCA7,19,1039997,ABCA7,ENSG00000064687
ABCA8,17,68955392,ABCA8,ENSG00000141338
ABCA9,17,69060949,ABCA9,ENSG00000154258
ABCA9-AS1,17,68944531,ABCA9-AS1,ENSG00000231749
ABCB1,7,87713323,ABCB1,ENSG00000085563
ABCB10,1,229558707,ABCB10,ENSG00000135776
ABCB10P1,15,149379,ABCB10P1,ENSG00000274099
ABCB10P3,HSCHR15_4_CTG8,649964,ABCB10P3,ENSG00000282479
ABCB10P4,HSCHR15_1_CTG8,28508808,ABCB10P4,ENSG00000274192
ABCB11,2,169031324,ABCB11,ENSG00000073734
ABCB4,7,87480435,ABCB4,ENSG00000005471
ABCB5,7,20615667,ABCB5,ENSG00000004846
ABCB6,2,219218994,ABCB6,ENSG00000115657
ABCB7,X,75156732,ABCB7,ENSG00000131269
ABCB8,7,151028422,ABCB8,ENSG00000197150
ABCB9,12,122981649,ABCB9,ENSG00000150967
ABCC1,16,1607547,ABCC1,ENSG00000103222
ABCC10,6,43427366,ABCC10,ENSG00000124574
ABCC11,16,48247568,ABCC11,ENSG00000121270
ABCC12,16,48156018,ABCC12,ENSG00000140798
ABCC13,21,14236206,ABCC13,ENSG00000291052
ABCC2,10,99782640,ABCC2,ENSG00000023839
ABCC3,17,50634777,ABCC3,ENSG00000108846
ABCC4,13,95301475,ABCC4,ENSG00000125257
ABCC5,3,184017939,ABCC5,ENSG00000114770
ABCC5-AS1,3,184006338,ABCC5-AS1,ENSG00000223882
ABCC6,HSCHR16_1_CTG1,16223522,ABCC6,ENSG00000275331
ABCC6P1,16,18570871,ABCC6P1,ENSG00000291057
ABCC6P2,16,14825208,ABCC6P2,ENSG00000290943
ABCC8,11,17476894,ABCC8,ENSG00000006071
ABCC9,12,21942543,ABCC9,ENSG00000069431
ABCD1,X,153724856,ABCD1,ENSG00000101986
ABCD1P2,10,274485,ABCD1P2,ENSG00000215151
ABCD1P3,16,32478250,ABCD1P3,ENSG00000261233
